world_size,backend,M,N,lat_ms,skew_pct
2,rccl_unfused,1024,1024,0.105944,1.968
2,triton_shmem,1024,1024,0.139201,0.058
2,symm_mem,1024,1024,1.152597,0.038
2,rccl_unfused,4096,1024,0.234360,0.205
2,triton_shmem,4096,1024,0.481791,0.021
2,symm_mem,4096,1024,4.628350,0.023
2,rccl_unfused,16384,1024,0.810368,0.005
2,triton_shmem,16384,1024,1.859267,0.045
2,symm_mem,16384,1024,18.107185,0.026
2,rccl_unfused,1024,2880,0.175625,0.274
2,triton_shmem,1024,2880,0.355319,0.096
2,symm_mem,1024,2880,1.323371,0.194
2,rccl_unfused,4096,2880,0.580238,0.007
2,triton_shmem,4096,2880,1.347888,0.046
2,symm_mem,4096,2880,5.248941,0.016
2,rccl_unfused,16384,2880,2.199491,0.005
2,triton_shmem,16384,2880,5.297252,0.003
2,symm_mem,16384,2880,21.315500,0.002
2,rccl_unfused,1024,4096,0.233318,0.009
2,triton_shmem,1024,4096,0.479585,0.004
2,symm_mem,1024,4096,1.339167,0.127
2,rccl_unfused,4096,4096,0.807201,0.012
2,triton_shmem,4096,4096,1.850967,0.011
2,symm_mem,4096,4096,5.192330,0.008
2,rccl_unfused,16384,4096,3.110551,0.010
2,triton_shmem,16384,4096,7.323222,0.004
2,symm_mem,16384,4096,20.080753,0.008
2,rccl_unfused,1024,16384,0.809987,0.015
2,triton_shmem,1024,16384,1.864017,0.021
2,symm_mem,1024,16384,2.614447,0.024
2,rccl_unfused,4096,16384,3.126648,0.002
2,triton_shmem,4096,16384,7.393866,0.016
2,symm_mem,4096,16384,10.301709,0.011
2,rccl_unfused,16384,16384,12.299054,0.010
2,triton_shmem,16384,16384,29.423331,0.000
2,symm_mem,16384,16384,46.438477,0.004
4,rccl_unfused,1024,1024,0.103097,2.256
4,triton_shmem,1024,1024,0.373221,0.183
4,symm_mem,1024,1024,2.259789,0.090
4,rccl_unfused,4096,1024,0.156040,0.373
4,triton_shmem,4096,1024,1.291898,0.093
4,symm_mem,4096,1024,9.099939,0.039
4,rccl_unfused,16384,1024,0.463108,0.095
4,triton_shmem,16384,1024,4.587296,0.028
4,symm_mem,16384,1024,36.132219,0.019
4,rccl_unfused,1024,2880,0.119335,0.034
4,triton_shmem,1024,2880,0.880991,0.114
4,symm_mem,1024,2880,2.539294,0.225
4,rccl_unfused,4096,2880,0.336356,0.072
4,triton_shmem,4096,2880,3.355155,0.063
4,symm_mem,4096,2880,10.808437,0.036
4,rccl_unfused,16384,2880,1.214700,0.053
4,triton_shmem,16384,2880,12.833246,0.045
4,symm_mem,16384,2880,43.071676,0.008
4,rccl_unfused,1024,4096,0.154897,0.272
4,triton_shmem,1024,4096,1.289854,0.155
4,symm_mem,1024,4096,2.530354,0.082
4,rccl_unfused,4096,4096,0.461905,0.165
4,triton_shmem,4096,4096,4.650522,0.038
4,symm_mem,4096,4096,10.204044,0.070
4,rccl_unfused,16384,4096,1.708940,0.048
4,triton_shmem,16384,4096,18.530942,0.065
4,symm_mem,16384,4096,38.678589,0.007
4,rccl_unfused,1024,16384,0.463749,0.112
4,triton_shmem,1024,16384,5.324656,0.136
4,symm_mem,1024,16384,4.908276,0.027
4,rccl_unfused,4096,16384,1.722471,0.060
4,triton_shmem,4096,16384,19.106428,0.037
4,symm_mem,4096,16384,19.726578,0.025
4,rccl_unfused,16384,16384,6.751424,0.027
4,triton_shmem,16384,16384,71.990543,0.054
4,symm_mem,16384,16384,85.865192,0.000
8,rccl_unfused,1024,1024,0.102036,4.617
8,triton_shmem,1024,1024,0.457695,0.582
8,symm_mem,1024,1024,4.545399,0.240
8,rccl_unfused,4096,1024,0.136014,1.252
8,triton_shmem,4096,1024,1.715254,0.215
8,symm_mem,4096,1024,18.688024,0.064
8,rccl_unfused,16384,1024,0.304642,0.572
8,triton_shmem,16384,1024,5.435671,0.082
8,symm_mem,16384,1024,72.199287,0.037
8,rccl_unfused,1024,2880,0.113601,1.252
8,triton_shmem,1024,2880,1.069506,0.409
8,symm_mem,1024,2880,5.817833,0.042
8,rccl_unfused,4096,2880,0.235603,0.689
8,triton_shmem,4096,2880,3.803568,0.178
8,symm_mem,4096,2880,24.168358,0.054
8,rccl_unfused,16384,2880,0.725974,0.268
8,triton_shmem,16384,2880,14.765501,0.033
8,symm_mem,16384,2880,99.255402,0.010
8,rccl_unfused,1024,4096,0.136595,1.424
8,triton_shmem,1024,4096,1.787060,0.891
8,symm_mem,1024,4096,5.655298,0.098
8,rccl_unfused,4096,4096,0.301475,0.352
8,triton_shmem,4096,4096,5.645555,0.130
8,symm_mem,4096,4096,22.304020,0.032
8,rccl_unfused,16384,4096,1.010710,0.228
8,triton_shmem,16384,4096,22.742690,0.058
8,symm_mem,16384,4096,86.575153,0.014
8,rccl_unfused,1024,16384,0.304663,0.579
8,triton_shmem,1024,16384,6.609197,0.189
8,symm_mem,1024,16384,10.609158,0.167
8,rccl_unfused,4096,16384,1.021134,0.157
8,triton_shmem,4096,16384,23.069786,0.063
8,symm_mem,4096,16384,41.588778,0.070
8,rccl_unfused,16384,16384,3.995290,0.100
8,triton_shmem,16384,16384,99.042290,0.076
8,symm_mem,16384,16384,165.930977,0.009
